system:index,AWEI,BAEI,BSI,EVI,GCI,MNDWI,NBR,NDBI,NDMI,NDSI,NDVI,NDWI,SAVI,UI,Year,.geo
"0_-27,282",-49622.446823296006,0.6347222678177772,-0.07861659242659236,4.380411401870032,0.7843709818877478,-0.14902444494858494,0.2640806463202238,-0.1325426370091757,0.1325426370091757,-0.14902444494858494,0.2898148118829624,-0.27549542688223044,0.43471478407702474,0.770662934677182,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.6063628167806769,6.333122753042626],[-0.583904934677689,6.333122753042626],[-0.583904934677689,6.355580635145614],[-0.6063628167806769,6.355580635145614],[-0.6063628167806769,6.333122753042626]]]}"
"0_-26,282",-50622.893583073135,0.5965485687472447,-0.09614372506882636,4.411629052581792,0.9254937342883734,-0.16514955562175343,0.2927493991956067,-0.1541328887842733,0.1541328887842733,-0.16514955562175343,0.32814403400877584,-0.3106793505097044,0.4922077637505838,0.7365370812063411,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.583904934677689,6.333122753042626],[-0.561447052574701,6.333122753042626],[-0.561447052574701,6.355580635145614],[-0.583904934677689,6.355580635145614],[-0.583904934677689,6.333122753042626]]]}"
"0_-25,282",-48188.94396690597,0.6113171887780108,-0.09836778385567808,5.425206929255853,0.8849886817055271,-0.1522484697279861,0.2886635434918716,-0.15640312068572856,0.15640312068572856,-0.1522484697279861,0.31862989050402407,-0.3006896414336019,0.47793658594769656,0.7325878577099781,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.561447052574701,6.333122753042626],[-0.5389891704717129,6.333122753042626],[-0.5389891704717129,6.355580635145614],[-0.561447052574701,6.355580635145614],[-0.561447052574701,6.333122753042626]]]}"
"0_-24,282",-47608.144118145276,0.5979561446745378,-0.10464491488008992,4.214286833917397,0.9468415447626801,-0.1569965565358151,0.2988415584726953,-0.16678228764503825,0.16678228764503825,-0.1569965565358151,0.3324467404830824,-0.31453623210445475,0.49866143219563724,0.7172543283516369,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.5389891704717129,6.333122753042626],[-0.5165312883687249,6.333122753042626],[-0.5165312883687249,6.355580635145614],[-0.5389891704717129,6.355580635145614],[-0.5389891704717129,6.333122753042626]]]}"
"0_-27,283",-48210.88449055492,0.6433743491404853,-0.08219717029815758,5.841681731417148,0.7696252306223683,-0.1399889767908841,0.2647880564586914,-0.1378369370565532,0.1378369370565532,-0.1399889767908841,0.28615625279970114,-0.27197748445258413,0.42922696187722,0.7615940696631213,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.6063628167806769,6.355580635145614],[-0.583904934677689,6.355580635145614],[-0.583904934677689,6.378038517248602],[-0.6063628167806769,6.378038517248602],[-0.6063628167806769,6.355580635145614]]]}"
"0_-26,283",-49780.4284312636,0.6153877859994976,-0.08841944481227956,4.2814536146439925,0.8516234686113818,-0.15676529751004062,0.27774868760123433,-0.1440790939648656,0.1440790939648656,-0.15676529751004062,0.3092272633549128,-0.2937107507843042,0.4638329426381691,0.7514949252596635,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.583904934677689,6.355580635145614],[-0.561447052574701,6.355580635145614],[-0.561447052574701,6.378038517248602],[-0.583904934677689,6.378038517248602],[-0.583904934677689,6.355580635145614]]]}"
"0_-25,283",-54029.169477836374,0.6128245923652754,-0.0748261170642127,4.1344882198488335,0.8436364117508336,-0.17018198104703508,0.25719393083318687,-0.1269476235373272,0.1269476235373272,-0.17018198104703508,0.30171322786564525,-0.2902387505815197,0.4525622753950023,0.7811983864075076,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.561447052574701,6.355580635145614],[-0.5389891704717129,6.355580635145614],[-0.5389891704717129,6.378038517248602],[-0.561447052574701,6.378038517248602],[-0.561447052574701,6.355580635145614]]]}"
"0_-24,283",-54080.70044914209,0.5990058926367551,-0.08226767765295948,3.3975575295939024,0.8934360294440344,-0.1755041722115318,0.27101928708981854,-0.13414235684529519,0.13414235684529519,-0.1755041722115318,0.317536249742807,-0.3016735288427763,0.4762964792177888,0.7692941308675753,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.5389891704717129,6.355580635145614],[-0.5165312883687249,6.355580635145614],[-0.5165312883687249,6.378038517248602],[-0.5389891704717129,6.378038517248602],[-0.5389891704717129,6.355580635145614]]]}"
"0_-27,284",-46549.8993668051,0.6532143114812217,-0.08356729455562703,4.572168817486872,0.7379835598218337,-0.13045785730758436,0.26768207542925404,-0.14073489936941574,0.14073489936941574,-0.13045785730758436,0.28000515791633185,-0.2660470061865692,0.4200004055777051,0.7554489060181486,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.6063628167806769,6.378038517248602],[-0.583904934677689,6.378038517248602],[-0.583904934677689,6.40049639935159],[-0.6063628167806769,6.40049639935159],[-0.6063628167806769,6.378038517248602]]]}"
"0_-26,284",-49251.21016230027,0.634083191493125,-0.07640343124570297,5.374523865836488,0.7789832625068088,-0.15210785492692327,0.25930609068945426,-0.1296401535184788,0.1296401535184788,-0.15210785492692327,0.2886438179794026,-0.27588362613521855,0.432958145666953,0.7731690043403566,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:4326""}},""type"":""Polygon"",""coordinates"":[[[-0.583904934677689,6.378038517248602],[-0.561447052574701,6.378038517248602],[-0.561447052574701,6.40049639935159],[-0.583904934677689,6.40049639935159],[-0.583904934677689,6.378038517248602]]]}"
