system:index,AWEI,BAEI,BSI,EVI,GCI,MNDWI,NBR,NDBI,NDMI,NDSI,NDVI,NDWI,SAVI,UI,Year,.geo
"0_-1176,-219",-26957.847108527934,0.943488778081549,-0.030150720201248666,-0.9329964684142676,0.11166162196640822,0.006664873885439456,0.07318018539992588,-0.05211057233272568,0.05211057233272568,0.006664873885439456,0.06701383664679092,-0.04520204396111314,0.10051840833911325,0.9056454675466417,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32654""}},""type"":""Polygon"",""coordinates"":[[[-588000.0,-109500.0],[-587500.0,-109500.0],[-587500.0,-109000.0],[-588000.0,-109000.0],[-588000.0,-109500.0]]]}"
"0_-1175,-219",-28574.246283522243,0.9360006280807777,-0.0271268638122182,2.330080237363603,0.11893381225618047,-2.2891550099353813E-4,0.07579698063113655,-0.05406263473637047,0.05406263473637047,-2.2891550099353813E-4,0.06746096634705816,-0.054194240105000305,0.10118901321521222,0.897591483811165,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32654""}},""type"":""Polygon"",""coordinates"":[[[-587500.0,-109500.0],[-587000.0,-109500.0],[-587000.0,-109000.0],[-587500.0,-109000.0],[-587500.0,-109500.0]]]}"
"0_-1174,-219",-33626.88383931677,0.7115677079098629,-0.10463093843923828,17.63009690383899,0.7092360402256107,-0.0685783641818419,0.23882803175287295,-0.18142290801473923,0.18142290801473923,-0.0685783641818419,0.2567808138005075,-0.2451998681963607,0.3851634188254679,0.7023349668887627,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32654""}},""type"":""Polygon"",""coordinates"":[[[-587000.0,-109500.0],[-586500.0,-109500.0],[-586500.0,-109000.0],[-587000.0,-109000.0],[-587000.0,-109500.0]]]}"
"0_-1173,-219",-37717.97940776816,0.6414198101710794,-0.12487785833301811,3.9590559826766474,0.8801865455202896,-0.09529969090130849,0.29177971611753595,-0.20970243627993018,0.20970243627993018,-0.09529969090130849,0.31493954176897604,-0.29869512796853526,0.4724003556028497,0.6600469540870202,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32654""}},""type"":""Polygon"",""coordinates"":[[[-586500.0,-109500.0],[-586000.0,-109500.0],[-586000.0,-109000.0],[-586500.0,-109000.0],[-586500.0,-109500.0]]]}"
"0_-1172,-219",-43426.148496639384,0.6123601283377923,-0.11240121383478281,3.1234206928774046,0.9210668231441735,-0.12904014689096396,0.2889672864686403,-0.1897135519158796,0.1897135519158796,-0.12904014689096396,0.3327696648468302,-0.3104218946058604,0.4991453740185892,0.6829687663904063,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32654""}},""type"":""Polygon"",""coordinates"":[[[-586000.0,-109500.0],[-585500.0,-109500.0],[-585500.0,-109000.0],[-586000.0,-109000.0],[-586000.0,-109500.0]]]}"
"0_-1171,-219",-42977.47450967013,0.6066647888988612,-0.11992499098378007,2.208281608616888,0.9391891319423662,-0.12562670982347604,0.3083114711405852,-0.1987645435101299,0.1987645435101299,-0.12562670982347604,0.3423109118487178,-0.3159937815785094,0.5134570962249488,0.669491656699442,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32654""}},""type"":""Polygon"",""coordinates"":[[[-585500.0,-109500.0],[-585000.0,-109500.0],[-585000.0,-109000.0],[-585500.0,-109000.0],[-585500.0,-109500.0]]]}"
"0_-1170,-219",-36506.32941446588,0.6947547643648312,-0.09889601892955341,16.805322280810856,0.6691004537145737,-0.08254865590995986,0.2504770445311516,-0.16516086599029298,0.16516086599029298,-0.08254865590995986,0.26571418163661464,-0.24346746799282631,0.39856322145689144,0.7194398703602995,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32654""}},""type"":""Polygon"",""coordinates"":[[[-585000.0,-109500.0],[-584500.0,-109500.0],[-584500.0,-109000.0],[-585000.0,-109000.0],[-585000.0,-109500.0]]]}"
"0_-1169,-219",-34912.922692686516,0.803304913319035,-0.051966187477365346,-0.01540146795764203,0.3575307004663949,-0.05155602810927759,0.1628179859342051,-0.10037129658846533,0.10037129658846533,-0.05155602810927759,0.1611980719310214,-0.15114483497118755,0.24179183408441954,0.8183168267535632,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32654""}},""type"":""Polygon"",""coordinates"":[[[-584500.0,-109500.0],[-584000.0,-109500.0],[-584000.0,-109000.0],[-584500.0,-109000.0],[-584500.0,-109500.0]]]}"
"0_-1168,-219",-47083.91143861546,0.7292425043952125,-0.05691230599243783,5.2081787807556355,0.5368714782449496,-0.09398479986101739,0.2212734883669606,-0.11735975809649843,0.11735975809649843,-0.09398479986101739,0.21415893408252093,-0.20875044319491906,0.32123311103464297,0.7908028398647337,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32654""}},""type"":""Polygon"",""coordinates"":[[[-584000.0,-109500.0],[-583500.0,-109500.0],[-583500.0,-109000.0],[-584000.0,-109000.0],[-584000.0,-109500.0]]]}"
"0_-1167,-219",-41738.99939401592,0.6547566907978648,-0.13199178742336784,8.505384221508667,0.8353882753454722,-0.07824020108069084,0.3124778564493098,-0.21710987185990918,0.21710987185990918,-0.07824020108069084,0.3132366161701761,-0.28970920700095937,0.4698471575346342,0.644922902099172,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32654""}},""type"":""Polygon"",""coordinates"":[[[-583500.0,-109500.0],[-583000.0,-109500.0],[-583000.0,-109000.0],[-583500.0,-109000.0],[-583500.0,-109500.0]]]}"
"0_-1166,-219",-35121.11524413127,0.6852033730095181,-0.11757596684468789,2.92410975245552,0.7270641676162999,-0.07333333251053178,0.2790896964056799,-0.19229507402434567,0.19229507402434567,-0.07333333251053178,0.28232215043654,-0.2610747437927361,0.42347479468979365,0.6785537904365981,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32654""}},""type"":""Polygon"",""coordinates"":[[[-583000.0,-109500.0],[-582500.0,-109500.0],[-582500.0,-109000.0],[-583000.0,-109000.0],[-583000.0,-109500.0]]]}"
"0_-1165,-219",-40484.63308856138,0.6490211649602964,-0.12466936942823616,4.901950350746759,0.8547677452207091,-0.09625020740413717,0.3034693021749104,-0.20082239531411805,0.20082239531411805,-0.09625020740413717,0.31181567798073423,-0.2899183178811821,0.46771519429298364,0.6675397716778325,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32654""}},""type"":""Polygon"",""coordinates"":[[[-582500.0,-109500.0],[-582000.0,-109500.0],[-582000.0,-109000.0],[-582500.0,-109000.0],[-582500.0,-109500.0]]]}"
"0_-1164,-219",-38199.283749699156,0.7149054251849007,-0.1042458869604535,-1.888042360667051,0.6433031358477873,-0.06648606410915779,0.2492348386027754,-0.17379239210238956,0.17379239210238956,-0.06648606410915779,0.25258924417203094,-0.23666826012354036,0.3788765406953739,0.7058927548663282,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32654""}},""type"":""Polygon"",""coordinates"":[[[-582000.0,-109500.0],[-581500.0,-109500.0],[-581500.0,-109000.0],[-582000.0,-109000.0],[-582000.0,-109500.0]]]}"
"0_-1163,-219",-38310.47607246452,0.7199004991950455,-0.10056791832715394,5.01176057296369,0.6321260418220285,-0.06639271734597747,0.24484806720543054,-0.16949998505340447,0.16949998505340447,-0.06639271734597747,0.24662985078569089,-0.2322901675732097,0.3699377432378447,0.7132087733259563,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32654""}},""type"":""Polygon"",""coordinates"":[[[-581500.0,-109500.0],[-581000.0,-109500.0],[-581000.0,-109000.0],[-581500.0,-109000.0],[-581500.0,-109500.0]]]}"
"0_-1162,-219",-33143.5185591074,0.7528185583433333,-0.08096197559311083,-11.20529698320016,0.4970606057997199,-0.058586947001154834,0.21332132294396658,-0.1404305499761549,0.1404305499761549,-0.058586947001154834,0.21340546098594726,-0.19724173994332747,0.3201011453404172,0.7547518992302171,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32654""}},""type"":""Polygon"",""coordinates"":[[[-581000.0,-109500.0],[-580500.0,-109500.0],[-580500.0,-109000.0],[-581000.0,-109000.0],[-581000.0,-109500.0]]]}"
"0_-1161,-219",-47318.40015952485,0.6742161781937387,-0.08558081683795649,6.475149607953328,0.69406214297783,-0.10758020405530883,0.2574442935077416,-0.1505609751659422,0.1505609751659422,-0.10758020405530883,0.2712707087779402,-0.253557314716605,0.40689926197067394,0.7400143425789396,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32654""}},""type"":""Polygon"",""coordinates"":[[[-580500.0,-109500.0],[-580000.0,-109500.0],[-580000.0,-109000.0],[-580500.0,-109000.0],[-580500.0,-109500.0]]]}"
"0_-1176,-218",-25075.214742988424,0.9719419441632269,-0.024610489780616692,-0.44347181648234296,0.03468155442284887,0.01141125158260689,0.03973971240085087,-0.027695541930711907,0.027695541930711907,0.01141125158260689,0.040709464096133983,-0.01628039444899463,0.06106255848795779,0.9468792462317971,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32654""}},""type"":""Polygon"",""coordinates"":[[[-588000.0,-109000.0],[-587500.0,-109000.0],[-587500.0,-108500.0],[-588000.0,-108500.0],[-588000.0,-109000.0]]]}"
"0_-1175,-218",-29310.740070647505,0.9223204801287371,-0.03535106833334883,-1.9446852062085265,0.14323864560131466,-0.0012972574456331612,0.0837653876277263,-0.0612847470416328,0.0612847470416328,-0.0012972574456331612,0.0817920786781402,-0.062315855235657115,0.12268526924351392,0.8859856618615126,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32654""}},""type"":""Polygon"",""coordinates"":[[[-587500.0,-109000.0],[-587000.0,-109000.0],[-587000.0,-108500.0],[-587500.0,-108500.0],[-587500.0,-109000.0]]]}"
"0_-1174,-218",-38882.751115270905,0.6567215260879773,-0.11452644612490112,4.190648827280556,0.8224089403501345,-0.0952637466241052,0.27713364739210394,-0.19400707979007628,0.19400707979007628,-0.0952637466241052,0.3024631684279601,-0.282820541304126,0.453686191107183,0.678420784544307,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32654""}},""type"":""Polygon"",""coordinates"":[[[-587000.0,-109000.0],[-586500.0,-109000.0],[-586500.0,-108500.0],[-587000.0,-108500.0],[-587000.0,-109000.0]]]}"
"0_-1173,-218",-41043.164202760396,0.6278063151997468,-0.12375892186749801,16.58472074558607,0.8970488282431547,-0.10578579697577044,0.300222308824702,-0.20781656170617818,0.20781656170617818,-0.10578579697577044,0.32659259651391526,-0.3065253058355296,0.489879921389229,0.6575743627587674,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32654""}},""type"":""Polygon"",""coordinates"":[[[-586500.0,-109000.0],[-586000.0,-109000.0],[-586000.0,-108500.0],[-586500.0,-108500.0],[-586500.0,-109000.0]]]}"
"0_-1172,-218",-41328.410263537924,0.6096179603101544,-0.13245281319261032,2.8226007244362443,0.9794463474302944,-0.11391253188123344,0.3180403899935609,-0.21734487610345285,0.21734487610345285,-0.11391253188123344,0.3456062487127119,-0.32229972213786434,0.5184001827550587,0.6453997341777444,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32654""}},""type"":""Polygon"",""coordinates"":[[[-586000.0,-109000.0],[-585500.0,-109000.0],[-585500.0,-108500.0],[-586000.0,-108500.0],[-586000.0,-109000.0]]]}"
"0_-1171,-218",-40143.48764118169,0.628597564978272,-0.12685193205128162,-0.4940753776892986,0.9106293174491844,-0.10619744471274023,0.31339622656549404,-0.20600133798737533,0.20600133798737533,-0.10619744471274023,0.329962182399192,-0.3041134107133218,0.49493431596092224,0.6607478673956317,2000.0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32654""}},""type"":""Polygon"",""coordinates"":[[[-585500.0,-109000.0],[-585000.0,-109000.0],[-585000.0,-108500.0],[-585500.0,-108500.0],[-585500.0,-109000.0]]]}"
