,actual,predicted
0,0.30653894,0.30121803
1,0.2928649,0.2980509
2,0.27421623,0.3078096
3,0.29731032,0.32476544
4,0.31386518,0.32352293
5,0.29906526,0.31877124
6,0.30020022,0.31844062
7,0.30812535,0.31893793
8,0.27693826,0.3139058
9,0.28661206,0.3169443
10,0.26714432,0.30394846
11,0.28913313,0.31328705
12,0.3183263,0.29508886
13,0.3139608,0.3264082
14,0.2982257,0.33040798
15,0.32196447,0.3346977
16,0.26046994,0.28845057
17,0.28081658,0.2910524
18,0.2929415,0.31796908
19,0.3074717,0.31850103
20,0.2946828,0.30624261
21,0.23224972,0.25260964
22,0.26175696,0.27359152
23,0.25828767,0.29923365
24,0.28369436,0.29741737
25,0.282934,0.3099334
26,0.27388054,0.2909666
27,0.2729744,0.28180948
28,0.26109418,0.24596274
29,0.19122362,0.19857289
30,0.23109044,0.2473795
31,0.27887303,0.3229829
32,0.28733966,0.3085644
33,0.24339333,0.28298378
34,0.20412512,0.2627948
35,0.22174324,0.22965306
36,0.19753875,0.19389877
37,0.20893276,0.23238328
38,0.21835257,0.25539064
39,0.21339522,0.2368021
40,0.27081338,0.30108023
41,0.26317894,0.30951095
42,0.27300954,0.27383032
43,0.26771817,0.27994138
44,0.27281493,0.29476285
45,0.29367855,0.30526188
46,0.29885316,0.3138122
47,0.26704407,0.30848375
48,0.29483435,0.3103526
49,0.29241243,0.3094119
50,0.30240208,0.31286797
51,0.26160824,0.27689365
52,0.28157836,0.32019877
53,0.30499935,0.3133168
54,0.30967528,0.32531503
55,0.27804673,0.30536562
56,0.29683003,0.31189927
57,0.30455458,0.30973753
58,0.2807338,0.29880607
59,0.27256012,0.29023147
60,0.2923232,0.30140796
61,0.29451165,0.314882
62,0.30407858,0.32406467
63,0.28265646,0.3190315
64,0.2703333,0.30435377
65,0.26034084,0.29519877
66,0.25362915,0.30737063
67,0.24290413,0.3234046
68,0.25306037,0.32237166
69,0.27211556,0.317202
70,0.25758788,0.31495094
71,0.27203164,0.315374
72,0.27081513,0.3135763
73,0.25855553,0.31366512
74,0.2558187,0.29710004
75,0.26643842,0.30151093
76,0.26471552,0.3149721
77,0.30437204,0.32636225
78,0.29393882,0.31685033
79,0.29519,0.3337028
80,0.23561826,0.2835981
81,0.26977488,0.27429613
82,0.2766106,0.31825623
83,0.2665214,0.31229466
84,0.219367,0.30758464
85,0.20625798,0.2526952
86,0.24695687,0.2642022
87,0.2614314,0.27615434
88,0.22597842,0.29881495
89,0.25199044,0.30966383
90,0.25376067,0.28062448
91,0.2357322,0.28870994
92,0.19600104,0.23314297
93,0.1713243,0.20556962
94,0.19403575,0.24725576
95,0.2610782,0.3105389
96,0.24082673,0.29782134
97,0.21741918,0.25433818
98,0.19343649,0.28206167
99,0.17080928,0.21828532
100,0.17070754,0.19862488
101,0.1895402,0.20633087
102,0.2114196,0.25806215
103,0.18196863,0.21076947
104,0.24267189,0.295644
105,0.23533127,0.30489367
106,0.24729842,0.24901086
107,0.22666967,0.27701554
108,0.23515163,0.289338
109,0.27282146,0.2993462
110,0.29504886,0.30863324
111,0.2843081,0.2804752
112,0.2423441,0.29844925
113,0.26555148,0.29294565
114,0.26262084,0.31238037
115,0.23179193,0.28273794
116,0.2561034,0.27180302
117,0.2727712,0.31134605
118,0.29189643,0.32416368
119,0.27192387,0.3036868
120,0.24959646,0.30752173
121,0.25463188,0.30946365
122,0.2688243,0.2940823
123,0.25167292,0.26114303
124,0.24670611,0.27499428
125,0.25809085,0.29457542
126,0.27669448,0.30115178
127,0.30558932,0.31610426
128,0.24419054,0.3007682
129,0.23989065,0.31139758
130,0.22328937,0.31171337
131,0.2197241,0.31492257
132,0.20734698,0.32275203
133,0.20145343,0.3194519
134,0.19984318,0.30269936
135,0.19028585,0.31178805
136,0.24236566,0.3147914
137,0.22963542,0.31989396
138,0.22223029,0.3164621
139,0.23209476,0.30494013
140,0.22838017,0.25414225
141,0.20401387,0.32402247
142,0.20254822,0.26318598
143,0.1929746,0.32561862
144,0.20666775,0.29896858
145,0.2179061,0.31894845
146,0.23030566,0.3178485
147,0.24627227,0.30341828
148,0.22756982,0.28796965
149,0.17134246,0.25037426
150,0.17797916,0.26480472
151,0.18299215,0.29288724
152,0.20845956,0.30029503
153,0.2322563,0.3076978
154,0.22841412,0.27591532
155,0.21011727,0.29264775
156,0.18287963,0.2546284
157,0.13291441,0.2013635
158,0.1387518,0.24636954
159,0.19051373,0.30866125
160,0.23140302,0.3084739
161,0.19037709,0.28463766
162,0.18246585,0.3194391
163,0.16157463,0.21489167
164,0.14862008,0.18745245
165,0.1615268,0.21670377
166,0.16311565,0.30148706
167,0.13456841,0.21282631
168,0.2375469,0.29057384
169,0.25074565,0.30659583
170,0.23261277,0.26509196
171,0.21812491,0.2632963
172,0.21861838,0.2821531
173,0.23943178,0.30169123
174,0.2389641,0.3082396
175,0.23206533,0.30978036
176,0.24786605,0.29329634
177,0.24234615,0.2908749
178,0.23190135,0.3044789
179,0.21647099,0.2858418
180,0.2443708,0.31258014
181,0.26434696,0.2926302
182,0.24839447,0.32031077
183,0.21875885,0.3020989
184,0.22822435,0.29579365
185,0.22824185,0.29452953
186,0.22635008,0.2975978
187,0.25278044,0.28791186
188,0.25021985,0.25949803
189,0.24480255,0.26909328
190,0.25407687,0.28336197
191,0.24902458,0.31822577
