,actual,predicted
0,0.2949999,0.28262806
1,0.27655613,0.26700035
2,0.30673325,0.33122706
3,0.31061956,0.32827905
4,0.2716508,0.28260854
5,0.2926359,0.29222602
6,0.2671699,0.25304484
7,0.26689303,0.2835511
8,0.27668187,0.29136577
9,0.23723489,0.26212585
10,0.22855796,0.2618396
11,0.24812435,0.27795276
12,0.2920272,0.31701583
13,0.28206167,0.29102728
14,0.29555318,0.30318388
15,0.28928643,0.30042896
16,0.2673258,0.3075973
17,0.2439359,0.29791754
18,0.25998804,0.3305513
19,0.2755707,0.33049598
20,0.24379885,0.31342196
21,0.266092,0.31095642
22,0.22071847,0.25299418
23,0.25949103,0.26812515
24,0.23838821,0.31703505
25,0.20986317,0.27312744
26,0.20155281,0.2646641
27,0.23111975,0.28848076
28,0.2478812,0.3287473
29,0.2526825,0.31134805
30,0.26205462,0.32402277
31,0.28642827,0.31942144
32,0.23578602,0.31560758
33,0.22128434,0.32486987
34,0.21119739,0.3293229
35,0.20896168,0.33091435
36,0.21891618,0.3189962
37,0.23567583,0.3164938
38,0.19114445,0.2583152
39,0.1840726,0.2770772
40,0.22389974,0.3084944
41,0.1957322,0.29698634
42,0.17958346,0.27502173
43,0.17597806,0.31179303
44,0.24198222,0.32577714
45,0.22983445,0.30349636
46,0.24871917,0.30870363
47,0.24221754,0.3250592
