,actual,predicted
0,0.26993674,0.2540501
1,0.2820405,0.32110682
2,0.32729185,0.31250244
3,0.3328819,0.27658215
4,0.32393786,0.2916962
5,0.2882714,0.27970168
6,0.29282343,0.25986367
7,0.32492918,0.30022463
8,0.14315869,0.13194457
9,0.20074606,0.18753645
10,0.26186052,0.23510906
11,0.31575435,0.309786
12,0.33126786,0.31663185
13,0.30756232,0.26167232
14,0.2941087,0.31607577
15,0.30007696,0.26739776
16,0.079866886,0.089977086
17,0.1675198,0.19519728
18,0.29683372,0.2788995
19,0.26984474,0.25068396
20,0.3164682,0.27112582
21,0.33469447,0.31988677
22,0.3090527,0.28486386
23,0.2934351,0.2592349
24,0.016314136,0.01696153
25,0.13171165,0.11828341
26,0.2658765,0.25492132
27,0.24124219,0.24917391
28,0.303113,0.2885187
29,0.3167009,0.2853451
30,0.2803756,0.25595382
31,0.3099277,0.3147659
32,0.020930624,0.01606394
33,0.17218976,0.19180185
34,0.26882273,0.25627357
35,0.2695898,0.24089733
36,0.24885085,0.24859011
37,0.23492338,0.23695382
38,0.2415074,0.263775
39,0.28081512,0.31761035
40,0.08671127,0.084185705
41,0.14180344,0.1588387
42,0.27573603,0.22915566
43,0.2786794,0.24540353
44,0.27510905,0.2539695
45,0.30855605,0.3105851
46,0.27292478,0.27186683
47,0.28343096,0.32162908
48,0.13116312,0.13733025
49,0.21920732,0.20948607
50,0.2693077,0.26060548
51,0.26542044,0.27920496
52,0.26711366,0.23451063
53,0.30503434,0.31766728
54,0.2769954,0.3176597
55,0.27871317,0.3201321
56,0.034484796,0.017271977
57,0.08603077,0.12153472
58,0.12526716,0.20368055
59,0.21387751,0.21314216
60,0.293688,0.27953157
61,0.24782531,0.2356981
62,0.29579568,0.3030866
63,0.30610597,0.31979004
64,0.29981723,0.26435736
65,0.33213413,0.31701687
66,0.35493103,0.3208547
67,0.35898775,0.30543062
68,0.3274582,0.30686995
69,0.30094054,0.28363606
70,0.31038287,0.26241335
71,0.31935337,0.3127071
72,0.1570697,0.13222107
73,0.22662783,0.19006556
74,0.29197076,0.21891114
75,0.3356779,0.30921832
76,0.33494893,0.31936195
77,0.31619495,0.2689666
78,0.32103872,0.30782196
79,0.31180167,0.27377686
80,0.09994145,0.09086475
81,0.1955587,0.20062181
82,0.3145834,0.2823781
83,0.29328838,0.25079757
84,0.33216563,0.29693407
85,0.34739155,0.31999865
86,0.31315413,0.30574
87,0.28424463,0.2627885
88,0.02755298,0.017172363
89,0.14662641,0.11210954
90,0.30841568,0.24943191
91,0.28807786,0.2518041
92,0.31471202,0.26509285
93,0.32216656,0.30499053
94,0.2985006,0.263543
95,0.32521433,0.31830278
96,0.03284188,0.015910838
97,0.19832468,0.19190183
98,0.31003493,0.230921
99,0.30029768,0.24656028
100,0.26631957,0.25101686
101,0.2566119,0.23801947
102,0.26948124,0.27375373
103,0.3260306,0.3176714
104,0.09359042,0.0831759
105,0.15507811,0.15638486
106,0.30198357,0.2343438
107,0.29940224,0.24561992
108,0.28981882,0.24868426
109,0.32495573,0.31592092
110,0.31343502,0.2788965
111,0.3344259,0.32199904
112,0.15650813,0.13171081
113,0.23534395,0.20628512
114,0.274292,0.25179726
115,0.30113885,0.27635238
116,0.27844658,0.2569518
117,0.32592708,0.3201075
118,0.31486595,0.31049177
119,0.30515805,0.31976146
120,0.063256286,0.01697795
121,0.12242993,0.11445953
122,0.1926553,0.21162033
123,0.24161845,0.21785414
124,0.28773472,0.284231
125,0.25567132,0.24529481
126,0.30546403,0.31196013
127,0.3226313,0.32154733
128,0.27446175,0.25721952
129,0.3393847,0.29968375
130,0.37000036,0.32079145
131,0.36835542,0.31903023
132,0.3560674,0.31512317
133,0.2759727,0.2810662
134,0.27712867,0.26623803
135,0.28313532,0.31232074
136,0.09220722,0.13310984
137,0.22551574,0.18859708
138,0.31189317,0.21454477
139,0.34882402,0.3133867
140,0.35134804,0.32034692
141,0.3381887,0.26464185
142,0.30938846,0.28579673
143,0.28629795,0.27385825
144,0.06571775,0.09077796
145,0.2108827,0.2046226
146,0.33219644,0.27658087
147,0.29438382,0.25167432
148,0.34956637,0.31605944
149,0.3731746,0.32031068
150,0.3476229,0.3058165
151,0.28499997,0.2605887
152,-0.030711971,0.01748481
153,0.1288227,0.108403146
154,0.3274505,0.23147938
155,0.29112282,0.2537051
156,0.34740186,0.266952
157,0.35136554,0.31138048
158,0.31326324,0.26246196
159,0.3294944,0.31677952
160,-0.031081902,0.01600413
161,0.19637744,0.18398952
162,0.28104138,0.25246796
163,0.28258926,0.25019246
164,0.2860396,0.26135552
165,0.276589,0.24518892
166,0.2783596,0.27443302
167,0.31746495,0.30690622
168,0.024728982,0.080694556
169,0.1371866,0.13373789
170,0.2863752,0.23899212
171,0.30092192,0.2516231
172,0.29417732,0.2546085
173,0.35517046,0.31785652
174,0.31490305,0.2748851
175,0.31792954,0.32195765
176,0.11135009,0.12651652
177,0.24827893,0.19546336
178,0.28778425,0.24611664
179,0.32383576,0.27020627
180,0.2791963,0.25589666
181,0.32132825,0.3201007
182,0.32608974,0.2996858
183,0.30051437,0.32057473
184,0.028590484,0.016914394
185,0.11584247,0.105728276
186,0.19687541,0.18965518
187,0.2629792,0.22030765
188,0.312955,0.27876502
189,0.22680289,0.23810437
190,0.28189424,0.31692842
191,0.3277443,0.3209128
