,actual,predicted
0,0.16329734,0.14955293
1,0.32190225,0.32333735
2,0.29662377,0.34259957
3,0.2210531,0.27098292
4,0.3145283,0.3086276
5,0.32011127,0.30256116
6,0.32358345,0.2829031
7,0.3341982,0.30216986
8,0.3187912,0.32645532
9,0.33285177,0.31713298
10,0.25570944,0.25157878
11,0.3124699,0.316231
12,0.2928153,0.30432028
13,0.28887442,0.29329506
14,0.2921706,0.293081
15,0.3134927,0.3320071
16,0.04757735,0.03683573
17,0.24185915,0.21896328
18,0.28626108,0.26475838
19,0.29260275,0.2896351
20,0.28110248,0.30004334
21,0.29832432,0.27378148
22,0.30373356,0.26850945
23,0.3276037,0.30721885
24,0.3231628,0.32515275
25,0.33648872,0.33095038
26,0.29895028,0.2792341
27,0.30885896,0.30851656
28,0.31827924,0.32323253
29,0.30299547,0.3375717
30,0.29696986,0.30009115
31,0.26711187,0.28383374
32,0.16044495,0.15471512
33,0.09103696,0.07730902
34,0.18193908,0.17197274
35,0.13221754,0.11653085
36,0.14822452,0.12603486
37,0.2681445,0.29192162
38,0.31304348,0.3132401
39,0.3134045,0.33074304
40,0.33998743,0.31633425
41,0.33004308,0.3328381
42,0.31149292,0.2561024
43,0.324122,0.31311697
44,0.302461,0.32817903
45,0.2998865,0.334415
46,0.27094236,0.317558
47,0.28053188,0.26919347
48,0.12623633,0.11169522
49,0.14457348,0.15740483
50,0.15664536,0.14388807
51,0.14366749,0.098875135
52,0.12467611,0.10501977
53,0.32916448,0.3159926
54,0.3278344,0.3050881
55,0.30151996,0.26831806
56,0.2560112,0.21704021
57,0.32789117,0.30729964
58,0.3565329,0.32225809
59,0.31955937,0.31238717
60,0.28357005,0.30100957
61,0.30410647,0.32572225
62,0.32009277,0.3147084
63,0.30102405,0.32590103
64,0.15923136,0.16492188
65,0.03884814,0.025511172
66,0.22609474,0.24599911
67,0.22581695,0.1878925
68,0.29044446,0.241267
69,0.30209777,0.29891416
70,0.31559926,0.29219812
71,0.26358858,0.19141574
72,0.23094961,0.19470899
73,0.33094156,0.2974831
74,0.351732,0.34607387
75,0.33529058,0.34927726
76,0.31777477,0.33392
77,0.3087475,0.32134038
78,0.2971372,0.27800107
79,0.29758498,0.28284246
80,0.050005924,0.05736117
81,-0.028362151,-0.0018992405
82,0.034663774,0.02798887
83,0.03971593,0.018811472
84,0.23608118,0.17968555
85,0.23806724,0.22106811
86,0.24307828,0.27947578
87,0.28524998,0.226596
88,0.26472953,0.23821132
89,0.33124238,0.28877306
90,0.37900707,0.33207834
91,0.3608301,0.33461475
92,0.35379186,0.32466042
93,0.3191557,0.3029505
94,0.27942136,0.27873138
95,0.3238903,0.3149198
96,0.0083868895,-0.0005578436
97,0.014568193,0.005593336
98,0.048942283,0.042442724
99,0.16707449,0.11100044
100,0.23392497,0.16930701
101,0.29762962,0.27574477
102,0.2520782,0.28471038
103,0.26603502,0.23742001
104,0.2451164,0.1900142
105,0.31210315,0.28190506
106,0.300591,0.30779693
107,0.3356049,0.31796235
108,0.2886833,0.26160342
109,0.28875193,0.2722346
110,0.29145214,0.30149058
111,0.31500396,0.34437433
112,0.01077385,0.001219308
113,0.053872347,0.041708954
114,0.08794677,0.08285963
115,0.2345666,0.120901324
116,0.3075735,0.2365228
117,0.29319757,0.27189142
118,0.2636474,0.2437213
119,0.23241943,0.17202722
120,0.23400214,0.18001619
121,0.2468966,0.2313512
122,0.2190782,0.23635682
123,0.23804016,0.23492095
124,0.21041287,0.2397804
125,0.23919578,0.24932982
126,0.2550071,0.31251174
127,0.2855924,0.2948554
128,0.021965727,0.003234366
129,0.020369908,0.0046658833
130,0.10001487,0.08313249
131,0.16502446,0.08368968
132,0.2295158,0.1666025
133,0.27615267,0.27665457
134,0.29402277,0.28466195
135,0.2617122,0.21347165
136,0.22401913,0.18847616
137,0.23600146,0.21713339
138,0.26109123,0.24446464
139,0.23490784,0.24927585
140,0.21950118,0.22826713
141,0.21637934,0.20242941
142,0.22195679,0.3005651
143,0.26049155,0.32823107
144,0.067089036,0.05047542
145,0.024147173,0.014949259
146,0.031514097,0.030268148
147,0.17580016,0.14222246
148,0.2583126,0.19331129
149,0.2285863,0.16140896
150,0.31669635,0.2804464
151,0.2850871,0.26201487
152,0.29472804,0.3063944
153,0.2829559,0.25175038
154,0.28791842,0.26870018
155,0.29043543,0.27888924
156,0.28016534,0.28318608
157,0.29931417,0.29948658
158,0.26855814,0.34266645
159,0.28140083,0.34995836
160,0.13225482,0.11161941
161,0.044553205,0.037855424
162,0.023511179,0.02162491
163,0.17753798,0.14316468
164,0.2630917,0.1762573
165,0.30572876,0.23559709
166,0.30928946,0.24861494
167,0.28503054,0.26833814
168,0.2680036,0.26210028
169,0.25929433,0.2265818
170,0.2707289,0.2631043
171,0.31418756,0.30534416
172,0.2727751,0.250446
173,0.25801575,0.289245
174,0.29727757,0.35330978
175,0.29683003,0.3396521
176,0.27381054,0.29151678
177,0.059843246,0.055521645
178,0.08610057,0.08726893
179,0.20544343,0.1583174
180,0.22805013,0.1699419
181,0.2510651,0.21519561
182,0.2652949,0.2322928
183,0.27890626,0.2701899
184,0.26638833,0.279644
185,0.281797,0.29570928
186,0.268779,0.2795322
187,0.32258964,0.3044586
188,0.30403608,0.3083668
189,0.24638653,0.30631885
190,0.24110243,0.33755234
191,0.2616595,0.31498986
192,0.27775604,0.28544214
193,0.089059405,0.07850407
194,0.17931117,0.14330308
195,0.22331883,0.15704967
196,0.27366263,0.24563335
197,0.25892952,0.22561286
198,0.27064905,0.26237297
199,0.25672033,0.26579863
200,0.29511622,0.24118951
201,0.24533515,0.23109484
202,0.29417565,0.3002784
203,0.29643536,0.30141443
204,0.27963924,0.3143951
205,0.28275767,0.3296649
206,0.2821953,0.34106475
207,0.27802214,0.3254231
208,0.07744318,0.06713344
209,0.03582538,0.027459987
210,0.17695566,0.17526749
211,0.21063282,0.24190566
212,0.2444444,0.25884172
213,0.2664198,0.2516875
214,0.25866678,0.28928137
215,0.24421757,0.28198928
216,0.28940123,0.26723588
217,0.2756162,0.24038681
218,0.31547233,0.30279613
219,0.3027509,0.33069468
220,0.3028587,0.32710668
221,0.2947957,0.31113383
222,0.3043459,0.33208287
223,0.3048744,0.3018861
224,0.015730562,0.007214209
225,0.076388046,0.06777379
226,0.08916227,0.08887279
227,0.0834097,0.1087967
228,0.15520807,0.21795253
229,0.18304977,0.23797302
230,0.19012314,0.20939615
231,0.17935169,0.1963962
232,0.23011298,0.25253206
233,0.30782416,0.3111238
234,0.28210977,0.27852735
235,0.24765258,0.25944123
236,0.27581275,0.33115494
237,0.29490507,0.3138028
238,0.28750494,0.30761933
239,0.3106101,0.3163414
240,0.1983757,0.1540403
241,0.3439875,0.3274424
242,0.34940934,0.34049705
243,0.30482945,0.2571877
244,0.35374102,0.32205763
245,0.33723187,0.3141238
246,0.34061077,0.3016192
247,0.37143692,0.32939154
248,0.34673297,0.34528875
249,0.33672744,0.32750133
250,0.27752382,0.25475124
251,0.32650286,0.31808576
252,0.32469139,0.30351976
253,0.32002765,0.29254577
254,0.29041302,0.29218945
255,0.3098053,0.33712378
256,0.060330305,0.038768508
257,0.25164267,0.23866668
258,0.3107702,0.27968708
259,0.34421667,0.3040438
260,0.33882684,0.31189817
261,0.33079523,0.296168
262,0.32288924,0.289177
263,0.34471682,0.32750815
264,0.34652808,0.3400049
265,0.3361655,0.3384353
266,0.2944451,0.29727036
267,0.31145892,0.31895187
268,0.3357694,0.32727724
269,0.3165386,0.3357611
270,0.30339402,0.30273035
271,0.29419082,0.27927494
272,0.1537664,0.15597616
273,0.09817066,0.0807974
274,0.18617082,0.1806484
275,0.15382402,0.122082055
276,0.1596444,0.13685563
277,0.32645673,0.2958482
278,0.33716065,0.32365415
279,0.34010515,0.33688328
280,0.34352377,0.34162837
281,0.32657582,0.33771896
282,0.32639512,0.26887524
283,0.32464665,0.32702434
284,0.3213441,0.32741016
285,0.3269945,0.3295319
286,0.3135603,0.31400084
287,0.30393946,0.2708826
288,0.13167496,0.114249
289,0.17453386,0.14459445
290,0.1919235,0.15092301
291,0.15148418,0.12867175
292,0.13590203,0.11584761
293,0.3302342,0.3271752
294,0.33969715,0.32242817
295,0.31358546,0.2916939
296,0.29873934,0.25060827
297,0.33458433,0.32236516
298,0.35192138,0.3335956
299,0.3422238,0.3218416
300,0.3150833,0.30222362
301,0.3311887,0.3284043
302,0.31034306,0.3207996
303,0.30985194,0.33322683
304,0.18746373,0.15749225
305,0.04122181,0.02756098
306,0.2771559,0.25083694
307,0.27527344,0.2166635
308,0.31322062,0.2770975
309,0.33378983,0.3034222
310,0.34603047,0.30463064
311,0.2702268,0.23182572
312,0.23702471,0.21099797
313,0.32734972,0.31637877
314,0.37754512,0.34705052
315,0.34468156,0.35033923
316,0.33517644,0.33341548
317,0.30494827,0.3187767
318,0.2947116,0.28992516
319,0.2740864,0.29822016
320,0.047168158,0.058325194
321,0.010146492,-0.0018893667
322,0.049617972,0.027733237
323,0.03169584,0.019803885
324,0.24875444,0.22352262
325,0.2945392,0.22600763
326,0.35106695,0.2555944
327,0.29713422,0.25499293
328,0.2681337,0.24754155
329,0.34233475,0.30865628
330,0.37511504,0.3431164
331,0.34957927,0.3423084
332,0.3561173,0.33712947
333,0.32746953,0.30925554
334,0.2772691,0.28286272
335,0.31203297,0.32605892
336,0.024631849,-4.6392903e-05
337,0.016791428,0.0061946586
338,0.056576714,0.04561591
339,0.1728194,0.13910511
340,0.24477938,0.20191874
341,0.3327488,0.29837817
342,0.32858148,0.2648133
343,0.30841166,0.25900853
344,0.26011947,0.21420312
345,0.32811597,0.29749802
346,0.34774336,0.3072981
347,0.34282684,0.32718506
348,0.29367542,0.26840264
349,0.30252972,0.27922368
350,0.31131992,0.29645693
351,0.32908934,0.33837327
352,0.032061912,0.0011926293
353,0.07789293,0.045605786
354,0.10315341,0.09035117
355,0.25654772,0.19871204
356,0.32764593,0.30276862
357,0.32659188,0.29007587
358,0.28965172,0.25036272
359,0.26202226,0.20139374
360,0.26068538,0.21102664
361,0.26584786,0.24564876
362,0.2587715,0.23318769
363,0.24477299,0.23782074
364,0.22214885,0.24123897
365,0.25080767,0.248035
366,0.31824008,0.29109597
367,0.30685106,0.27886117
368,0.027012946,0.0043335296
369,0.033827562,0.0054311734
370,0.10893508,0.09081669
371,0.20142378,0.10742534
372,0.31326038,0.19317012
373,0.32542622,0.29741555
374,0.3399683,0.29247782
375,0.29220685,0.23901401
376,0.24212389,0.20567474
377,0.24014497,0.22646801
378,0.26296982,0.24711797
379,0.24748038,0.25114098
380,0.23190334,0.22866644
381,0.22171763,0.20143473
382,0.3049204,0.27950996
383,0.32271937,0.3044314
384,0.08043135,0.053621814
385,0.042856414,0.01613704
386,0.042476546,0.030318849
387,0.18706928,0.16251253
388,0.29694527,0.23302579
389,0.27187905,0.17431581
390,0.33490807,0.3009339
391,0.3222208,0.27376884
392,0.3247276,0.31309408
393,0.31118947,0.26658133
394,0.30110624,0.27444285
395,0.31325537,0.2834263
396,0.33858553,0.28284276
397,0.30475596,0.29553503
398,0.33852705,0.32171598
399,0.35777733,0.3448
400,0.1403638,0.1202305
401,0.05219243,0.039437454
402,0.038613044,0.021135574
403,0.1890758,0.15681306
404,0.28085187,0.23858403
405,0.32715878,0.28763625
406,0.31085283,0.2903205
407,0.29721946,0.27647686
408,0.2669404,0.26978776
409,0.27135584,0.26224345
410,0.2790991,0.27203757
411,0.3298705,0.3153343
412,0.33485854,0.2464805
413,0.2923668,0.28868902
414,0.34386003,0.3445642
415,0.32934165,0.33261895
416,0.29704958,0.2845369
417,0.0683225,0.05672662
418,0.10013249,0.08815157
419,0.22064355,0.18071838
420,0.25738585,0.20157877
421,0.29150447,0.24115518
422,0.28428584,0.256924
423,0.30383208,0.2714359
424,0.2858843,0.28497213
425,0.31029773,0.2938968
426,0.27477887,0.28144962
427,0.30459663,0.31112283
428,0.32921445,0.31905472
429,0.3101012,0.2716395
430,0.31575736,0.30607483
431,0.3141566,0.30367786
432,0.31095955,0.28931668
433,0.10644045,0.080092825
434,0.19854759,0.1564714
435,0.21791397,0.19225942
436,0.25975883,0.27446148
437,0.26204357,0.24616857
438,0.31596744,0.2716654
439,0.30446932,0.26535773
440,0.31076613,0.27007616
441,0.2665677,0.23436871
442,0.29866114,0.30412823
443,0.31881642,0.31247544
444,0.31197357,0.32343885
445,0.3068665,0.32478133
446,0.30816787,0.3314656
447,0.30868316,0.3143738
448,0.112321235,0.0691736
449,0.05493265,0.027639981
450,0.22121455,0.17960766
451,0.26303923,0.21610767
452,0.23580813,0.2580611
453,0.2684699,0.2626769
454,0.2859669,0.29182586
455,0.28079194,0.27519625
456,0.3120022,0.27937138
457,0.28519115,0.25997514
458,0.31180307,0.31576273
459,0.33589742,0.33163953
460,0.3346287,0.32953966
461,0.3040855,0.3073456
462,0.30817944,0.33344537
463,0.2918443,0.30980623
464,0.049501233,0.005831793
465,0.11489805,0.06867797
466,0.13335864,0.09069091
467,0.10908693,0.10017795
468,0.23905478,0.18438874
469,0.2734857,0.21851681
470,0.24601398,0.20007792
471,0.21598251,0.19464341
472,0.25336483,0.2505675
473,0.28052744,0.3186538
474,0.27332896,0.2820124
475,0.24622524,0.2606447
476,0.27839383,0.32582715
477,0.30773988,0.30458316
478,0.32362667,0.3105785
479,0.3181653,0.3203175
480,0.18406053,0.16614853
481,0.3169716,0.33059102
482,0.32830873,0.3441193
483,0.31689474,0.28785425
484,0.38148692,0.32809895
485,0.36748672,0.32107663
486,0.33091998,0.3101387
487,0.38383174,0.33539397
488,0.38253704,0.3496598
489,0.38089928,0.32880834
490,0.27028853,0.26113582
491,0.3081811,0.32172585
492,0.30716184,0.31496704
493,0.27207989,0.30016762
494,0.259322,0.2916825
495,0.2798547,0.33741674
496,0.031062014,0.03452687
497,0.22785509,0.24438436
498,0.29269758,0.2876597
499,0.35114554,0.32218817
500,0.3509215,0.32266402
501,0.36463726,0.3045851
502,0.36139107,0.30125278
503,0.34676927,0.33090857
504,0.3547968,0.3441932
505,0.37492523,0.3394294
506,0.34205827,0.29635733
507,0.32574403,0.32041705
508,0.33667544,0.33026835
509,0.31575274,0.33769083
510,0.29071736,0.30581424
511,0.25356638,0.2853733
512,0.057812784,0.15190603
513,0.027263572,0.08374861
514,0.1574609,0.18046293
515,0.15684953,0.1287756
516,0.15658504,0.13861051
517,0.35700792,0.31241748
518,0.36834863,0.3316205
519,0.34987995,0.34160852
520,0.34290862,0.34408072
521,0.3464326,0.33800828
522,0.33021396,0.27269462
523,0.33968052,0.32713586
524,0.3466011,0.33295435
525,0.31752053,0.33692673
526,0.29335102,0.3222193
527,0.27187723,0.27490202
528,0.014291683,0.116759606
529,0.14308298,0.16715017
530,0.16549832,0.17009808
531,0.14925337,0.1334292
532,0.12456693,0.11854337
533,0.34190065,0.32726675
534,0.35713783,0.32718128
535,0.3306191,0.29569712
536,0.29611948,0.27062613
537,0.33723608,0.3245796
538,0.36882645,0.33520794
539,0.35158724,0.3286156
540,0.33349523,0.31225199
541,0.3372263,0.3335745
542,0.3147483,0.31838447
543,0.28823864,0.33450615
544,0.12409399,0.17455621
545,0.022730429,0.028404716
546,0.30050194,0.26579365
547,0.28639328,0.25074905
548,0.33715022,0.2917897
549,0.3508322,0.31439817
550,0.33533546,0.31940645
551,0.2750404,0.23886386
552,0.2500081,0.21337043
553,0.34562626,0.31522712
554,0.39896578,0.34839356
555,0.37405634,0.3521577
556,0.35828787,0.33657646
557,0.35907176,0.31686842
558,0.3352728,0.2905613
559,0.2994252,0.2909601
560,0.09549995,0.058523998
561,0.009452174,-0.0014101695
562,0.027413474,0.032145042
563,0.05166539,0.018669285
564,0.28634003,0.24036999
565,0.3391191,0.26115727
566,0.34106615,0.32841977
567,0.2944734,0.2649979
568,0.2965382,0.23777129
569,0.37878594,0.3144703
570,0.4072506,0.34367856
571,0.3882949,0.34003237
572,0.38552517,0.3379045
573,0.35748982,0.3144816
574,0.31164646,0.28284883
575,0.34095874,0.32512158
576,-0.05837008,-0.00016610138
577,-0.09092456,0.0062900707
578,-0.07185175,0.04760004
579,0.169121,0.14362836
580,0.311737,0.21337654
581,0.32983214,0.31773433
582,0.3460445,0.31993616
583,0.30600515,0.28881136
584,0.25439778,0.23222996
585,0.35582554,0.30836806
586,0.3727768,0.3180677
587,0.36944824,0.3317933
588,0.31458095,0.2700456
589,0.305594,0.28485224
590,0.3321459,0.30304092
591,0.35374463,0.34081227
592,0.0041940203,0.0006413143
593,0.028721342,0.050783142
594,0.06604205,0.0970698
595,0.26054388,0.21649817
596,0.3122937,0.31584918
597,0.29940706,0.29888964
598,0.2801801,0.26969406
599,0.29067877,0.22821456
600,0.2741831,0.22768196
601,0.2944311,0.2564934
602,0.30514878,0.24691264
603,0.26749715,0.24121974
604,0.23100929,0.24267145
605,0.26162085,0.24940209
606,0.32296628,0.31975493
607,0.29565933,0.29273388
608,-0.0041586244,0.0042750444
609,-0.055658482,0.0054750144
610,0.05334281,0.09612053
611,0.20600863,0.13383953
612,0.25839007,0.28046766
613,0.29758576,0.32262683
614,0.30993274,0.31465825
615,0.26497352,0.26139003
616,0.22364414,0.21746075
617,0.2639247,0.2307963
618,0.30307347,0.2487872
619,0.26169422,0.25443733
620,0.23789597,0.23059367
621,0.22446503,0.20532534
622,0.31803194,0.30115747
623,0.34732503,0.32541594
624,-0.020355422,0.05383856
625,-0.015803121,0.017850101
626,-0.02502352,0.031143803
627,0.21167944,0.15596554
628,0.28412813,0.27135116
629,0.26679572,0.22259113
630,0.3010722,0.31315264
631,0.30376375,0.30145657
632,0.30004856,0.32372764
633,0.3218739,0.27960047
634,0.35902053,0.28039473
635,0.36578098,0.29263175
636,0.37137815,0.30571434
637,0.32029197,0.29627365
638,0.34552306,0.3403831
639,0.3377421,0.3503355
640,0.06292706,0.12542976
641,-0.022315813,0.041456886
642,-0.02856844,0.021265069
643,0.18789123,0.16092332
644,0.23982534,0.2603116
645,0.31385505,0.29915854
646,0.3046969,0.29231673
647,0.30853772,0.2836003
648,0.27072135,0.2706967
649,0.2659977,0.27116477
650,0.2880342,0.27415764
651,0.3551752,0.318916
652,0.32104734,0.3258497
653,0.2871879,0.3022349
654,0.33647814,0.3535505
655,0.32140878,0.33832657
656,0.26479065,0.28469205
657,0.0124688605,0.058575056
658,0.079244785,0.09109381
659,0.23332617,0.19076756
660,0.27543357,0.2233826
661,0.30306274,0.2623036
662,0.30858377,0.26481718
663,0.34411657,0.2804361
664,0.31396377,0.29213655
665,0.32028103,0.29842848
666,0.30120763,0.28293854
667,0.32178795,0.3067864
668,0.34417087,0.3277226
669,0.33140793,0.305192
670,0.31955916,0.3358431
671,0.32283452,0.31304443
672,0.27154595,0.30004746
673,0.046666373,0.0849355
674,0.20621435,0.16007254
675,0.2760343,0.1869993
676,0.3002724,0.2628837
677,0.27651498,0.2487805
678,0.33487904,0.29436567
679,0.3040152,0.29221958
680,0.31167653,0.27819693
681,0.25901732,0.2472246
682,0.3017627,0.3031348
683,0.31012732,0.31934413
